,Finish,Start,Car #,Make
2948,2,13,20.0,Toyota
2949,3,33,15.0,Toyota
2950,4,29,40.0,Chevrolet
2951,5,11,31.0,Chevrolet
2952,6,7,33.0,Chevrolet
2953,7,18,41.0,Chevrolet
2954,8,26,9.0,Ford
2955,9,39,4.0,Chevrolet
2956,10,19,13.0,Chevrolet
2957,11,40,22.0,Ford
2958,12,8,5.0,Chevrolet
2959,13,30,3.0,Chevrolet
2960,14,36,36.0,Chevrolet
2961,15,22,26.0,Toyota
2962,16,34,66.0,Toyota
2963,17,42,42.0,Chevrolet
2964,18,38,11.0,Toyota
2965,19,27,10.0,Chevrolet
2966,20,1,55.0,Toyota
2967,21,15,99.0,Ford
2968,22,4,12.0,Ford
2969,23,3,47.0,Chevrolet
2970,24,2,48.0,Chevrolet
2971,25,24,16.0,Ford
2972,26,43,24.0,Chevrolet
2973,27,12,78.0,Chevrolet
2974,28,35,98.0,Ford
2975,29,21,38.0,Ford
2976,30,25,34.0,Ford
2977,31,28,88.0,Chevrolet
2978,32,16,21.0,Ford
2979,33,9,32.0,Ford
2980,34,37,14.0,Chevrolet
2981,35,31,1.0,Chevrolet
2982,36,20,27.0,Chevrolet
2983,37,10,7.0,Chevrolet
2984,38,23,49.0,Toyota
2985,39,17,43.0,Ford
2986,40,41,18.0,Toyota
2987,41,6,95.0,Ford
2988,42,32,83.0,Toyota
2989,43,14,23.0,Toyota
2991,1,23,88.0,Chevrolet
2992,2,13,24.0,Chevrolet
2993,3,9,31.0,Chevrolet
2994,4,4,14.0,Chevrolet
2995,5,2,22.0,Ford
2996,6,3,20.0,Toyota
2997,7,12,15.0,Toyota
2998,8,5,11.0,Toyota
2999,9,15,47.0,Chevrolet
3000,10,29,34.0,Ford
3001,11,8,18.0,Toyota
3002,12,19,3.0,Chevrolet
3003,13,21,16.0,Ford
3004,14,14,27.0,Chevrolet
3005,15,18,17.0,Ford
3006,16,1,1.0,Chevrolet
3007,17,22,51.0,Chevrolet
3008,18,36,26.0,Toyota
3009,19,28,40.0,Chevrolet
3010,20,11,99.0,Ford
3011,21,27,43.0,Ford
3012,22,34,38.0,Ford
3013,23,25,9.0,Ford
3014,24,37,7.0,Chevrolet
3015,25,35,98.0,Chevrolet
3016,26,43,66.0,Toyota
3017,27,17,55.0,Toyota
3018,28,42,32.0,Ford
3019,29,32,23.0,Toyota
3020,30,16,42.0,Chevrolet
3021,31,6,2.0,Ford
3022,32,7,48.0,Chevrolet
3023,33,33,4.0,Chevrolet
3024,34,30,10.0,Chevrolet
3025,35,31,36.0,Chevrolet
3026,36,10,41.0,Chevrolet
3027,37,20,13.0,Chevrolet
3028,38,26,78.0,Chevrolet
3029,39,40,83.0,Toyota
3030,40,24,5.0,Chevrolet
3031,41,39,33.0,Chevrolet
3032,42,41,44.0,Chevrolet
3033,43,38,93.0,Toyota
3035,1,3,48.0,Chevrolet
3036,2,5,4.0,Chevrolet
3037,3,26,2.0,Ford
3038,4,9,18.0,Toyota
3039,5,21,1.0,Chevrolet
3040,6,12,88.0,Chevrolet
3041,7,17,42.0,Chevrolet
3042,8,4,41.0,Chevrolet
3043,9,11,99.0,Ford
3044,10,20,11.0,Toyota
3045,11,6,14.0,Chevrolet
3046,12,10,22.0,Ford
3047,13,19,16.0,Ford
3048,14,23,47.0,Chevrolet
3049,15,7,31.0,Chevrolet
3050,16,13,55.0,Toyota
3051,17,15,27.0,Chevrolet
3052,18,38,13.0,Chevrolet
3053,19,8,78.0,Chevrolet
3054,20,30,51.0,Chevrolet
3055,21,29,3.0,Chevrolet
3056,22,33,7.0,Chevrolet
3057,23,18,17.0,Ford
3058,24,22,43.0,Ford
3059,25,1,20.0,Toyota
3060,26,40,26.0,Toyota
3061,27,16,9.0,Ford
3062,28,24,15.0,Toyota
3063,29,2,24.0,Chevrolet
3064,30,28,95.0,Ford
3065,31,39,83.0,Toyota
3066,32,37,34.0,Ford
3067,33,32,36.0,Chevrolet
3068,34,31,38.0,Ford
3069,35,42,33.0,Chevrolet
3070,36,27,10.0,Chevrolet
3071,37,43,32.0,Ford
3072,38,14,5.0,Chevrolet
3073,39,25,21.0,Ford
3074,40,41,66.0,Toyota
3075,41,36,98.0,Chevrolet
3076,42,35,23.0,Toyota
3077,43,34,40.0,Chevrolet
3079,1,3,4.0,Chevrolet
3080,2,7,24.0,Chevrolet
3081,3,5,20.0,Toyota
3082,4,2,2.0,Ford
3083,5,1,11.0,Toyota
3084,6,4,22.0,Ford
3085,7,10,41.0,Chevrolet
3086,8,16,88.0,Chevrolet
3087,9,28,16.0,Ford
3088,10,21,9.0,Ford
3089,11,20,31.0,Chevrolet
3090,12,14,78.0,Chevrolet
3091,13,8,42.0,Chevrolet
3092,14,19,1.0,Chevrolet
3093,15,13,99.0,Ford
3094,16,24,47.0,Chevrolet
3095,17,18,17.0,Ford
3096,18,23,43.0,Ford
3097,19,9,55.0,Toyota
3098,20,29,14.0,Chevrolet
3099,21,22,5.0,Chevrolet
3100,22,32,10.0,Chevrolet
3101,23,11,27.0,Chevrolet
3102,24,34,38.0,Ford
3103,25,35,34.0,Ford
3104,26,30,7.0,Chevrolet
3105,27,26,33.0,Chevrolet
3106,28,33,36.0,Chevrolet
3107,29,38,40.0,Chevrolet
3108,30,41,83.0,Toyota
3109,31,31,95.0,Ford
3110,32,37,23.0,Toyota
3111,33,42,32.0,Ford
3112,34,6,18.0,Toyota
3113,35,12,13.0,Chevrolet
3114,36,43,66.0,Toyota
3115,37,27,51.0,Chevrolet
3116,38,25,3.0,Chevrolet
3117,39,15,48.0,Chevrolet
3118,40,17,15.0,Toyota
3119,41,36,98.0,Chevrolet
3120,42,40,26.0,Toyota
3121,43,39,37.0,Chevrolet
3123,1,5,4.0,Chevrolet
3124,2,21,31.0,Chevrolet
3125,3,4,2.0,Ford
3126,4,16,27.0,Chevrolet
3127,5,19,1.0,Chevrolet
3128,6,3,20.0,Toyota
3129,7,8,11.0,Toyota
3130,8,6,15.0,Toyota
3131,9,12,48.0,Chevrolet
3132,10,1,24.0,Chevrolet
3133,11,2,41.0,Chevrolet
3134,12,23,5.0,Chevrolet
3135,13,27,42.0,Chevrolet
3136,14,11,88.0,Chevrolet
3137,15,14,51.0,Chevrolet
3138,16,9,22.0,Ford
3139,17,10,78.0,Chevrolet
3140,18,32,10.0,Chevrolet
3141,19,18,43.0,Ford
3142,20,29,13.0,Chevrolet
3143,21,38,95.0,Ford
3144,22,22,17.0,Ford
3145,23,13,55.0,Toyota
3146,24,36,36.0,Chevrolet
3147,25,24,3.0,Chevrolet
3148,26,42,26.0,Toyota
3149,27,17,9.0,Ford
3150,28,30,33.0,Chevrolet
3151,29,33,40.0,Chevrolet
3152,30,31,34.0,Ford
3153,31,35,38.0,Ford
3154,32,37,98.0,Chevrolet
3155,33,41,23.0,Toyota
3156,34,15,99.0,Ford
3157,35,39,7.0,Chevrolet
3158,36,43,66.0,Toyota
3159,37,34,83.0,Toyota
3160,38,40,32.0,Ford
3161,39,7,18.0,Toyota
3162,40,25,47.0,Chevrolet
3163,41,20,16.0,Ford
3164,42,26,21.0,Ford
3165,43,28,14.0,Chevrolet
3167,1,5,22.0,Ford
3168,2,11,4.0,Chevrolet
3169,3,3,88.0,Chevrolet
3170,4,42,11.0,Toyota
3171,5,2,48.0,Chevrolet
3172,6,41,13.0,Chevrolet
3173,7,9,15.0,Toyota
3174,8,10,78.0,Chevrolet
3175,9,13,5.0,Chevrolet
3176,10,8,16.0,Ford
3177,11,26,38.0,Ford
3178,12,38,9.0,Ford
3179,13,27,46.0,Chevrolet
3180,14,30,3.0,Chevrolet
3181,15,33,43.0,Ford
3182,16,24,41.0,Chevrolet
3183,17,28,34.0,Ford
3184,18,4,18.0,Toyota
3185,19,36,83.0,Toyota
3186,20,40,47.0,Chevrolet
3187,21,20,10.0,Chevrolet
3188,22,19,35.0,Ford
3189,23,6,19.0,Toyota
3190,24,43,32.0,Ford
3191,25,21,27.0,Chevrolet
3192,26,34,55.0,Toyota
3193,27,15,1.0,Chevrolet
3194,28,31,33.0,Chevrolet
3195,29,32,17.0,Ford
3196,30,37,6.0,Ford
3197,31,23,95.0,Ford
3198,32,14,44.0,Chevrolet
3199,33,1,24.0,Chevrolet
3200,34,29,42.0,Chevrolet
3201,35,35,20.0,Toyota
3202,36,16,66.0,Toyota
3203,37,18,51.0,Chevrolet
3204,38,22,31.0,Chevrolet
3205,39,12,21.0,Ford
3206,40,25,23.0,Toyota
3207,41,39,2.0,Ford
3208,42,7,14.0,Chevrolet
3209,43,17,40.0,Chevrolet
3211,1,37,48.0,Chevrolet
3212,2,2,4.0,Chevrolet
3213,3,9,88.0,Chevrolet
3214,4,1,22.0,Ford
3215,5,36,20.0,Toyota
3216,6,14,78.0,Chevrolet
3217,7,11,47.0,Chevrolet
3218,8,22,55.0,Toyota
3219,9,12,2.0,Ford
3220,10,7,31.0,Chevrolet
3221,11,23,43.0,Ford
3222,12,5,19.0,Toyota
3223,13,13,27.0,Chevrolet
3224,14,10,5.0,Chevrolet
3225,15,21,13.0,Chevrolet
3226,16,18,10.0,Chevrolet
3227,17,38,41.0,Chevrolet
3228,18,17,18.0,Toyota
3229,19,29,6.0,Ford
3230,20,16,51.0,Chevrolet
3231,21,8,9.0,Ford
3232,22,26,38.0,Ford
3233,23,42,7.0,Chevrolet
3234,24,25,15.0,Toyota
3235,25,19,16.0,Ford
3236,26,6,42.0,Chevrolet
3237,27,24,95.0,Ford
3238,28,31,62.0,Chevrolet
3239,29,32,33.0,Chevrolet
3240,30,39,14.0,Chevrolet
3241,31,27,32.0,Ford
3242,32,33,98.0,Ford
3243,33,28,34.0,Ford
3244,34,30,23.0,Toyota
3245,35,40,26.0,Toyota
3246,36,20,17.0,Ford
3247,37,41,35.0,Ford
3248,38,4,11.0,Toyota
3249,39,15,3.0,Chevrolet
3250,40,3,1.0,Chevrolet
3251,41,35,24.0,Chevrolet
3252,42,34,30.0,Chevrolet
3253,43,43,40.0,Chevrolet
3255,1,18,4.0,Chevrolet
3256,2,8,78.0,Chevrolet
3257,3,7,31.0,Chevrolet
3258,4,4,88.0,Chevrolet
3259,5,19,11.0,Toyota
3260,6,22,47.0,Chevrolet
3261,7,11,2.0,Ford
3262,8,5,42.0,Chevrolet
3263,9,6,20.0,Toyota
3264,10,2,22.0,Ford
3265,11,10,1.0,Chevrolet
3266,12,24,27.0,Chevrolet
3267,13,23,33.0,Chevrolet
3268,14,16,16.0,Ford
3269,15,28,55.0,Toyota
3270,16,34,41.0,Chevrolet
3271,17,3,5.0,Chevrolet
3272,18,1,24.0,Chevrolet
3273,19,30,21.0,Ford
3274,20,25,3.0,Chevrolet
3275,21,20,15.0,Toyota
3276,22,13,18.0,Toyota
3277,23,37,38.0,Ford
3278,24,29,9.0,Ford
3279,25,17,13.0,Chevrolet
3280,26,15,43.0,Ford
3281,27,21,10.0,Chevrolet
3282,28,35,6.0,Ford
3283,29,31,17.0,Ford
3284,30,32,95.0,Ford
3285,31,26,51.0,Chevrolet
3286,32,38,35.0,Ford
3287,33,12,14.0,Chevrolet
3288,34,39,98.0,Ford
3289,35,42,40.0,Chevrolet
3290,36,40,23.0,Toyota
3291,37,36,34.0,Ford
3292,38,43,62.0,Chevrolet
3293,39,33,46.0,Chevrolet
3294,40,41,26.0,Toyota
3295,41,9,48.0,Chevrolet
3296,42,14,19.0,Toyota
3297,43,27,7.0,Chevrolet
3299,1,1,4.0,Chevrolet
3300,2,3,1.0,Chevrolet
3301,3,5,31.0,Chevrolet
3302,4,9,5.0,Chevrolet
3303,5,8,41.0,Chevrolet
3304,6,6,2.0,Ford
3305,7,15,78.0,Chevrolet
3306,8,2,22.0,Ford
3307,9,10,24.0,Chevrolet
3308,10,12,42.0,Chevrolet
3309,11,20,48.0,Chevrolet
3310,12,14,17.0,Ford
3311,13,7,19.0,Toyota
3312,14,21,27.0,Chevrolet
3313,15,11,3.0,Chevrolet
3314,16,4,20.0,Toyota
3315,17,22,47.0,Chevrolet
3316,18,28,51.0,Chevrolet
3317,19,32,43.0,Ford
3318,20,24,13.0,Chevrolet
3319,21,13,18.0,Toyota
3320,22,33,40.0,Chevrolet
3321,23,25,11.0,Toyota
3322,24,30,15.0,Toyota
3323,25,39,35.0,Ford
3324,26,23,10.0,Chevrolet
3325,27,19,16.0,Ford
3326,28,36,6.0,Ford
3327,29,29,38.0,Ford
3328,30,26,7.0,Chevrolet
3329,31,40,23.0,Toyota
3330,32,38,34.0,Ford
3331,33,37,32.0,Ford
3332,34,41,26.0,Toyota
3333,35,35,83.0,Toyota
3334,36,34,98.0,Ford
3335,37,42,62.0,Chevrolet
3336,38,43,33.0,Chevrolet
3337,39,17,14.0,Chevrolet
3338,40,27,9.0,Ford
3339,41,18,55.0,Toyota
3340,42,31,46.0,Chevrolet
3341,43,16,88.0,Chevrolet
3343,1,8,2.0,Ford
3344,2,2,4.0,Chevrolet
3345,3,1,41.0,Chevrolet
3346,4,11,27.0,Chevrolet
3347,5,9,31.0,Chevrolet
3348,6,17,88.0,Chevrolet
3349,7,13,22.0,Ford
3350,8,12,78.0,Chevrolet
3351,9,14,48.0,Chevrolet
3352,10,7,24.0,Chevrolet
3353,11,23,43.0,Ford
3354,12,31,51.0,Chevrolet
3355,13,15,19.0,Toyota
3356,14,20,14.0,Chevrolet
3357,15,27,17.0,Ford
3358,16,21,3.0,Chevrolet
3359,17,19,5.0,Chevrolet
3360,18,4,18.0,Toyota
3361,19,22,10.0,Chevrolet
3362,20,33,34.0,Ford
3363,21,26,1.0,Chevrolet
3364,22,30,55.0,Toyota
3365,23,37,13.0,Chevrolet
3366,24,32,35.0,Ford
3367,25,40,40.0,Chevrolet
3368,26,5,42.0,Chevrolet
3369,27,25,33.0,Chevrolet
3370,28,6,11.0,Toyota
3371,29,36,6.0,Ford
3372,30,10,15.0,Toyota
3373,31,3,20.0,Toyota
3374,32,29,16.0,Ford
3375,33,28,7.0,Chevrolet
3376,34,18,47.0,Chevrolet
3377,35,43,38.0,Ford
3378,36,35,98.0,Ford
3379,37,41,23.0,Toyota
3380,38,24,46.0,Chevrolet
3381,39,34,26.0,Toyota
3382,40,39,32.0,Ford
3383,41,38,62.0,Chevrolet
3384,42,42,83.0,Toyota
3385,43,16,9.0,Ford
3387,1,15,11.0,Toyota
3388,2,12,2.0,Ford
3389,3,1,22.0,Ford
3390,4,8,20.0,Toyota
3391,5,20,18.0,Toyota
3392,6,3,78.0,Chevrolet
3393,7,16,10.0,Chevrolet
3394,8,17,4.0,Chevrolet
3395,9,4,24.0,Chevrolet
3396,10,19,1.0,Chevrolet
3397,11,9,5.0,Chevrolet
3398,12,18,43.0,Ford
3399,13,30,15.0,Toyota
3400,14,26,41.0,Chevrolet
3401,15,24,13.0,Chevrolet
3402,16,7,42.0,Chevrolet
3403,17,11,19.0,Toyota
3404,18,36,6.0,Ford
3405,19,25,16.0,Ford
3406,20,6,14.0,Chevrolet
3407,21,34,40.0,Chevrolet
3408,22,37,35.0,Ford
3409,23,13,27.0,Chevrolet
3410,24,35,34.0,Ford
3411,25,29,38.0,Ford
3412,26,42,23.0,Toyota
3413,27,2,31.0,Chevrolet
3414,28,33,55.0,Toyota
3415,29,32,26.0,Toyota
3416,30,31,98.0,Ford
3417,31,43,83.0,Toyota
3418,32,38,9.0,Ford
3419,33,41,33.0,Chevrolet
3420,34,40,32.0,Ford
3421,35,5,48.0,Chevrolet
3422,36,14,88.0,Chevrolet
3423,37,39,7.0,Chevrolet
3424,38,27,25.0,Chevrolet
3425,39,28,46.0,Chevrolet
3426,40,23,17.0,Ford
3427,41,22,3.0,Chevrolet
3428,42,21,51.0,Chevrolet
3429,43,10,47.0,Chevrolet
3431,1,5,48.0,Chevrolet
3432,2,2,4.0,Chevrolet
3433,3,25,88.0,Chevrolet
3434,4,6,22.0,Ford
3435,5,3,2.0,Ford
3436,6,10,1.0,Chevrolet
3437,7,12,24.0,Chevrolet
3438,8,4,5.0,Chevrolet
3439,9,15,78.0,Chevrolet
3440,10,16,19.0,Toyota
3441,11,18,11.0,Toyota
3442,12,7,31.0,Chevrolet
3443,13,30,18.0,Toyota
3444,14,1,41.0,Chevrolet
3445,15,22,17.0,Ford
3446,16,21,10.0,Chevrolet
3447,17,19,16.0,Ford
3448,18,23,6.0,Ford
3449,19,32,43.0,Ford
3450,20,14,3.0,Chevrolet
3451,21,26,47.0,Chevrolet
3452,22,27,15.0,Toyota
3453,23,17,20.0,Toyota
3454,24,11,14.0,Chevrolet
3455,25,9,42.0,Chevrolet
3456,26,29,9.0,Ford
3457,27,20,13.0,Chevrolet
3458,28,38,38.0,Ford
3459,29,36,55.0,Toyota
3460,30,40,34.0,Ford
3461,31,39,95.0,Ford
3462,32,33,40.0,Chevrolet
3463,33,34,7.0,Chevrolet
3464,34,42,83.0,Toyota
3465,35,31,35.0,Ford
3466,36,37,32.0,Ford
3467,37,43,33.0,Chevrolet
3468,38,35,98.0,Ford
3469,39,24,51.0,Chevrolet
3470,40,28,46.0,Chevrolet
3471,41,8,27.0,Chevrolet
3472,42,13,21.0,Ford
3473,43,41,23.0,Toyota
3475,1,1,20.0,Toyota
3476,2,28,48.0,Chevrolet
3477,3,23,24.0,Chevrolet
3478,4,25,17.0,Ford
3479,5,18,31.0,Chevrolet
3480,6,21,14.0,Chevrolet
3481,7,14,42.0,Chevrolet
3482,8,15,51.0,Chevrolet
3483,9,26,10.0,Chevrolet
3484,10,12,3.0,Chevrolet
3485,11,9,27.0,Chevrolet
3486,12,37,15.0,Toyota
3487,13,30,43.0,Ford
3488,14,10,1.0,Chevrolet
3489,15,7,41.0,Chevrolet
3490,16,13,88.0,Chevrolet
3491,17,24,55.0,Toyota
3492,18,32,38.0,Ford
3493,19,39,9.0,Ford
3494,20,40,7.0,Chevrolet
3495,21,22,83.0,Toyota
3496,22,19,95.0,Ford
3497,23,36,46.0,Chevrolet
3498,24,3,19.0,Toyota
3499,25,38,34.0,Ford
3500,26,5,11.0,Toyota
3501,27,42,35.0,Ford
3502,28,31,6.0,Ford
3503,29,16,78.0,Chevrolet
3504,30,33,16.0,Ford
3505,31,41,32.0,Ford
3506,32,29,23.0,Toyota
3507,33,43,33.0,Chevrolet
3508,34,20,47.0,Chevrolet
3509,35,2,2.0,Ford
3510,36,27,13.0,Chevrolet
3511,37,8,5.0,Chevrolet
3512,38,4,4.0,Chevrolet
3513,39,35,98.0,Ford
3514,40,6,22.0,Ford
3515,41,11,18.0,Toyota
3516,42,34,26.0,Toyota
3517,43,17,40.0,Chevrolet
3519,1,3,41.0,Chevrolet
3520,2,5,4.0,Chevrolet
3521,3,36,48.0,Chevrolet
3522,4,9,1.0,Chevrolet
3523,5,1,22.0,Ford
3524,6,40,5.0,Chevrolet
3525,7,8,20.0,Toyota
3526,8,11,24.0,Chevrolet
3527,9,17,15.0,Toyota
3528,10,6,78.0,Chevrolet
3529,11,23,31.0,Chevrolet
3530,12,12,42.0,Chevrolet
3531,13,4,47.0,Chevrolet
3532,14,26,88.0,Chevrolet
3533,15,15,27.0,Chevrolet
3534,16,16,25.0,Chevrolet
3535,17,7,2.0,Ford
3536,18,22,51.0,Chevrolet
3537,19,18,19.0,Toyota
3538,20,27,43.0,Ford
3539,21,32,16.0,Ford
3540,22,2,11.0,Toyota
3541,23,10,18.0,Toyota
3542,24,34,6.0,Ford
3543,25,21,10.0,Chevrolet
3544,26,19,40.0,Chevrolet
3545,27,20,3.0,Chevrolet
3546,28,24,17.0,Ford
3547,29,14,55.0,Toyota
3548,30,25,13.0,Chevrolet
3549,31,30,38.0,Ford
3550,32,41,7.0,Chevrolet
3551,33,38,46.0,Chevrolet
3552,34,43,34.0,Ford
3553,35,29,9.0,Ford
3554,36,31,35.0,Ford
3555,37,37,83.0,Toyota
3556,38,39,23.0,Toyota
3557,39,42,33.0,Chevrolet
3558,40,33,30.0,Chevrolet
3559,41,13,14.0,Chevrolet
3560,42,28,98.0,Ford
3561,43,35,32.0,Ford
3563,1,4,88.0,Chevrolet
3564,2,5,48.0,Chevrolet
3565,3,7,27.0,Chevrolet
3566,4,3,21.0,Ford
3567,5,36,78.0,Chevrolet
3568,6,12,9.0,Ford
3569,7,18,31.0,Chevrolet
3570,8,24,4.0,Chevrolet
3571,9,17,11.0,Toyota
3572,10,34,98.0,Ford
3573,11,27,1.0,Chevrolet
3574,12,19,41.0,Chevrolet
3575,13,41,35.0,Ford
3576,14,42,23.0,Toyota
3577,15,28,43.0,Ford
3578,16,37,7.0,Chevrolet
3579,17,31,47.0,Chevrolet
3580,18,43,83.0,Toyota
3581,19,6,14.0,Chevrolet
3582,20,39,38.0,Ford
3583,21,25,10.0,Chevrolet
3584,22,15,2.0,Ford
3585,23,35,51.0,Chevrolet
3586,24,38,34.0,Ford
3587,25,8,20.0,Toyota
3588,26,29,17.0,Ford
3589,27,32,32.0,Ford
3590,28,11,13.0,Chevrolet
3591,29,40,46.0,Chevrolet
3592,30,10,15.0,Toyota
3593,31,1,24.0,Chevrolet
3594,32,22,19.0,Toyota
3595,33,21,22.0,Ford
3596,34,2,5.0,Chevrolet
3597,35,14,3.0,Chevrolet
3598,36,23,55.0,Toyota
3599,37,20,16.0,Ford
3600,38,9,18.0,Toyota
3601,39,30,40.0,Chevrolet
3602,40,33,62.0,Chevrolet
3603,41,26,6.0,Ford
3604,42,13,42.0,Chevrolet
3605,43,16,33.0,Chevrolet
3607,1,19,48.0,Chevrolet
3608,2,6,4.0,Chevrolet
3609,3,17,88.0,Chevrolet
3610,4,11,24.0,Chevrolet
3611,5,1,22.0,Ford
3612,6,18,20.0,Toyota
3613,7,3,2.0,Ford
3614,8,8,41.0,Chevrolet
3615,9,4,78.0,Chevrolet
3616,10,15,31.0,Chevrolet
3617,11,14,43.0,Ford
3618,12,7,16.0,Ford
3619,13,9,1.0,Chevrolet
3620,14,29,47.0,Chevrolet
3621,15,10,42.0,Chevrolet
3622,16,26,9.0,Ford
3623,17,2,5.0,Chevrolet
3624,18,22,27.0,Chevrolet
3625,19,24,13.0,Chevrolet
3626,20,5,19.0,Toyota
3627,21,21,15.0,Toyota
3628,22,28,3.0,Chevrolet
3629,23,43,46.0,Chevrolet
3630,24,20,17.0,Ford
3631,25,35,83.0,Toyota
3632,26,32,33.0,Chevrolet
3633,27,27,10.0,Chevrolet
3634,28,40,98.0,Ford
3635,29,41,40.0,Chevrolet
3636,30,25,51.0,Chevrolet
3637,31,30,6.0,Ford
3638,32,38,38.0,Ford
3639,33,23,55.0,Toyota
3640,34,39,34.0,Ford
3641,35,34,35.0,Ford
3642,36,31,95.0,Ford
3643,37,37,23.0,Toyota
3644,38,42,32.0,Ford
3645,39,16,14.0,Chevrolet
3646,40,12,18.0,Toyota
3647,41,13,11.0,Toyota
3648,42,33,26.0,Toyota
3649,43,36,7.0,Chevrolet
3651,1,3,19.0,Toyota
3652,2,4,16.0,Ford
3653,3,15,88.0,Chevrolet
3654,4,1,20.0,Toyota
3655,5,10,78.0,Chevrolet
3656,6,19,31.0,Chevrolet
3657,7,6,2.0,Ford
3658,8,5,11.0,Toyota
3659,9,8,4.0,Chevrolet
3660,10,14,41.0,Chevrolet
3661,11,17,18.0,Toyota
3662,12,33,5.0,Chevrolet
3663,13,2,22.0,Ford
3664,14,23,27.0,Chevrolet
3665,15,18,24.0,Chevrolet
3666,16,11,3.0,Chevrolet
3667,17,21,43.0,Ford
3668,18,28,25.0,Chevrolet
3669,19,22,1.0,Chevrolet
3670,20,24,15.0,Toyota
3671,21,12,14.0,Chevrolet
3672,22,20,10.0,Chevrolet
3673,23,34,13.0,Chevrolet
3674,24,26,9.0,Ford
3675,25,9,42.0,Chevrolet
3676,26,31,7.0,Chevrolet
3677,27,27,6.0,Ford
3678,28,37,35.0,Ford
3679,29,30,47.0,Chevrolet
3680,30,25,95.0,Ford
3681,31,40,34.0,Ford
3682,32,36,46.0,Chevrolet
3683,33,39,38.0,Ford
3684,34,42,83.0,Toyota
3685,35,38,98.0,Ford
3686,36,43,33.0,Chevrolet
3687,37,29,17.0,Ford
3688,38,41,23.0,Toyota
3689,39,32,40.0,Chevrolet
3690,40,13,48.0,Chevrolet
3691,41,7,55.0,Toyota
3692,42,16,21.0,Ford
3693,43,35,51.0,Chevrolet
3695,1,14,48.0,Chevrolet
3696,2,6,4.0,Chevrolet
3697,3,3,42.0,Chevrolet
3698,4,25,5.0,Chevrolet
3699,5,23,43.0,Ford
3700,6,2,78.0,Chevrolet
3701,7,11,1.0,Chevrolet
3702,8,18,27.0,Chevrolet
3703,9,20,15.0,Toyota
3704,10,22,24.0,Chevrolet
3705,11,5,22.0,Ford
3706,12,19,2.0,Ford
3707,13,15,55.0,Toyota
3708,14,16,88.0,Chevrolet
3709,15,33,10.0,Chevrolet
3710,16,26,14.0,Chevrolet
3711,17,7,16.0,Ford
3712,18,17,31.0,Chevrolet
3713,19,8,19.0,Toyota
3714,20,30,7.0,Chevrolet
3715,21,1,11.0,Toyota
3716,22,28,9.0,Ford
3717,23,43,40.0,Chevrolet
3718,24,29,47.0,Chevrolet
3719,25,32,38.0,Ford
3720,26,37,35.0,Ford
3721,27,21,13.0,Chevrolet
3722,28,38,34.0,Ford
3723,29,40,23.0,Toyota
3724,30,35,26.0,Toyota
3725,31,13,41.0,Chevrolet
3726,32,36,83.0,Toyota
3727,33,12,3.0,Chevrolet
3728,34,41,62.0,Chevrolet
3729,35,42,32.0,Ford
3730,36,10,18.0,Toyota
3731,37,9,17.0,Ford
3732,38,27,33.0,Chevrolet
3733,39,4,20.0,Toyota
3734,40,39,98.0,Ford
3735,41,34,46.0,Chevrolet
3736,42,24,51.0,Chevrolet
3737,43,31,6.0,Ford
3739,1,3,78.0,Chevrolet
3740,2,5,4.0,Chevrolet
3741,3,9,48.0,Chevrolet
3742,4,11,22.0,Ford
3743,5,1,41.0,Chevrolet
3744,6,19,20.0,Toyota
3745,7,14,1.0,Chevrolet
3746,8,15,42.0,Chevrolet
3747,9,10,18.0,Toyota
3748,10,8,11.0,Toyota
3749,11,20,88.0,Chevrolet
3750,12,27,16.0,Ford
3751,13,12,5.0,Chevrolet
3752,14,4,24.0,Chevrolet
3753,15,2,19.0,Toyota
3754,16,18,13.0,Chevrolet
3755,17,7,2.0,Ford
3756,18,29,33.0,Chevrolet
3757,19,6,3.0,Chevrolet
3758,20,30,51.0,Chevrolet
3759,21,28,14.0,Chevrolet
3760,22,23,15.0,Toyota
3761,23,21,55.0,Toyota
3762,24,33,6.0,Ford
3763,25,32,40.0,Chevrolet
3764,26,34,7.0,Chevrolet
3765,27,35,38.0,Ford
3766,28,39,35.0,Ford
3767,29,38,98.0,Ford
3768,30,36,34.0,Ford
3769,31,16,27.0,Chevrolet
3770,32,41,83.0,Toyota
3771,33,40,26.0,Toyota
3772,34,31,46.0,Chevrolet
3773,35,42,32.0,Ford
3774,36,37,23.0,Toyota
3775,37,22,10.0,Chevrolet
3776,38,26,47.0,Chevrolet
3777,39,13,31.0,Chevrolet
3778,40,43,62.0,Chevrolet
3779,41,24,9.0,Ford
3780,42,17,17.0,Ford
3781,43,25,43.0,Ford
3783,1,24,41.0,Chevrolet
3784,2,14,88.0,Chevrolet
3785,3,9,78.0,Chevrolet
3786,4,12,20.0,Toyota
3787,5,11,22.0,Ford
3788,6,3,2.0,Ford
3789,7,25,1.0,Chevrolet
3790,8,17,27.0,Chevrolet
3791,9,20,6.0,Ford
3792,10,32,15.0,Toyota
3793,11,13,11.0,Toyota
3794,12,4,19.0,Toyota
3795,13,27,13.0,Chevrolet
3796,14,22,33.0,Chevrolet
3797,15,1,5.0,Chevrolet
3798,16,19,10.0,Chevrolet
3799,17,16,42.0,Chevrolet
3800,18,23,31.0,Chevrolet
3801,19,8,48.0,Chevrolet
